stock name,price,board,volume,buy_volume,sell_volume,date,time,Period End 1,Revenue 1,P&L 1,EPS 1,Period End 2,Revenue 2,P&L 2,EPS 2,Period End 3,Revenue 3,P&L 3,EPS 3,Period End 4,Revenue 4,P&L 4,EPS 4,Financial Date,Sales,Ebitda,Ebit,Net Profit,Intangibles,Fixed Asset,Long Term Investment,Inventories,Cash,Current Liabilites,Long_debt,Provisions,Minorities,Total Shareholder Equity,Operating Margin,Return on Equity Capital,Net Profit Margin,Current Ratio,Debt to Capital at book
A50CHIN-C38: CW ISHARES FTSE A50 CHINA INDEX ETF (MACQ),0.250,Warr,"171,562",0.240 / 10,0.250 / 20,29 Mar 2019,7:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A50CHIN-C24: CW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ),0.815,Warr,0,0.000 / 0,0.000 / 0,29 Mar 2019,7:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A50CHIN-C34: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB),0.985,Warr,40,0.000 / 0,0.000 / 0,29 Mar 2019,7:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A50CHIN-C22: CW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ),0.055,Warr,0,0.000 / 0,0.000 / 0,29 Mar 2019,7:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A50CHIN-C32: CW ISHARES FTSE A50 CHINA INDEX ETF (MACQ),0.820,Warr,119,0.000 / 0,0.850 / 60,29 Mar 2019,7:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A50CHIN-C36: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB),0.595,Warr,"71,536",0.000 / 0,0.595 / 5,29 Mar 2019,7:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A50CHIN-C26: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB),0.495,Warr,0,0.000 / 0,0.000 / 0,29 Mar 2019,7:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A50CHIN-C30: CW ISHARES FTSE A50 CHINA INDEX ETF (MACQ),0.365,Warr,"39,333",0.325 / 17,0.385 / 65,29 Mar 2019,7:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A50CHIN-H21: PW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ),0.050,Warr,0,0.000 / 0,0.000 / 0,29 Mar 2019,7:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A50CHIN-H27: PW ISHARES FTSE A50 CHINA INDEX ETF (MACQ),0.060,Warr,776,0.050 / 45,0.085 / 700,29 Mar 2019,7:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
