"","Days","1","2","3","4","5","6","7","8","9","10","11","12","13","Total"
"1","A50CHIN-C22",0.275,0.31,0.3,0,0.22,0.105,0.13,0.14,0.135,0.14,0.16,0.23,0.195,2.34
"2","A50CHIN-C24",0.83,0.915,0.91,0,0.795,0.645,0.63,0.685,0.67,0.715,0.765,0.77,0.875,9.205
"3","A50CHIN-C26",0.505,0,0,0,0,0,0.43,0,0,0,0,0.52,0.495,1.95
"4","A50CHIN-C28",0.285,0.295,0.295,0,0.255,0.2,0.215,0.22,0.22,0.225,0.24,0.27,0.255,2.975
"5","A50CHIN-C30",0.39,0.42,0.41,0.39,0.335,0.285,0.28,0.29,0.28,0.29,0.33,0.37,0.365,4.435
"6","A50CHIN-C32",0.81,0.94,0.87,0,0.78,0,0,0.69,0.65,0,0.72,0,0,5.46
"7","A50CHIN-C34",0,0,1.06,0,0.97,0,0,0.88,0,0,0,0,0,2.91
"8","A50CHIN-C36",0.59,0.61,0.62,0,0.55,0.455,0.475,0.495,0.49,0.495,0.53,0.595,0.57,6.475
"9","A50CHIN-H23",0.005,0,0,0,0,0,0,0,0,0,0,0.005,0,0.01
"10","A50CHIN-H27",0.075,0.065,0.07,0.075,0.08,0.115,0.09,0.1,0.09,0.095,0.08,0.065,0.065,1.065
"11","AASIA",0.145,0,0,0.155,0.145,0,0,0.145,0,0,0,0.15,0.16,0.9
"12","AAX",0.255,0.25,0.245,0.25,0.25,0.255,0.25,0.25,0.265,0.26,0.255,0.25,0.25,3.285
"13","AAX-WA",0.055,0.055,0.055,0.05,0.055,0.05,0.05,0.055,0.055,0.055,0.05,0.05,0.055,0.69
"14","ABFMY1",0,0,0,0,0,0,1.17,0,1.172,1.173,0,0,0,3.515
"15","ABLEGRP",0.07,0,0.07,0.07,0.07,0.075,0.075,0,0,0.07,0,0,0.075,0.575
"16","ABMB",4.2,4.2,4.23,0,4.22,4.14,4.12,4.14,4.16,4.2,4.15,4.2,4.16,50.12
"17","ACME",0,0,0,0,0.25,0,0,0,0,0,0,0,0,0.25
"18","ACOSTEC",0.43,0.44,0.435,0.455,0.455,0.455,0.45,0.445,0.435,0.44,0.45,0.43,0.44,5.76
"19","ADVCON",0.34,0.345,0.35,0.35,0.375,0.39,0.4,0.39,0.43,0.42,0.43,0.45,0.43,5.1
"20","ADVENTA",0.37,0.36,0.355,0,0.385,0,0.355,0.355,0,0.36,0,0.375,0.355,3.27
"21","ADVPKG",1.9,0,0,0,0,0,0,1.9,1.8,0,1.86,0,1.81,9.27
"22","AEM",0.12,0,0.12,0,0.11,0,0,0.115,0.11,0.115,0.115,0,0.11,0.915
"23","AEM-WA",0.005,0,0.005,0.005,0.005,0,0,0.005,0,0,0,0,0.005,0.03
"24","AEMULUS",0.245,0.25,0.245,0.265,0.255,0.25,0.24,0.245,0.245,0.255,0.25,0.255,0.25,3.25
"25","AEON",1.6,1.62,1.61,1.58,1.6,1.6,1.56,1.58,1.56,1.6,1.57,1.58,1.55,20.61
"26","AEON-CO",0.055,0.06,0,0,0.055,0.055,0.05,0.045,0.045,0.045,0.045,0.05,0.05,0.555
"27","AEON-CQ",0.03,0,0,0,0,0,0,0,0,0,0,0,0,0.03
"28","AEONCR",16.7,16.8,16.98,0,17.2,17.2,16.88,16.98,16.98,17.1,17.04,17.16,16.94,203.96
"29","AEONCR-LA",1.5,0,1.5,0,1.62,1.57,1.55,0,1.55,1.57,0,1.61,1.52,13.99
"30","AFFIN",2.28,2.3,2.31,2.31,2.28,2.27,2.26,2.25,2.25,2.28,2.28,2.26,2.29,29.62
"31","AFUJIYA",0.5,0.535,0,0,0,0.51,0.52,0.525,0,0.57,0.56,0.52,0.525,4.765
"32","AHB",0.135,0.135,0.13,0,0.14,0.135,0.13,0.135,0.13,0.13,0.145,0.145,0.15,1.64
"33","AHB-WB",0.005,0.005,0.005,0,0.005,0.005,0.005,0.005,0.005,0.005,0.01,0.01,0.015,0.08
