"","V1","V2","V3"
"A50CHIN.C22","c","a","b"
"A50CHIN.C24","b","b","b"
"A50CHIN.C26","b","b","b"
"A50CHIN.C28","b","b","b"
"A50CHIN.C30","c","a","b"
"A50CHIN.C32","c","b","a"
"A50CHIN.C34","b","b","a"
"A50CHIN.C36","b","b","b"
"A50CHIN.H23","b","b","b"
"A50CHIN.H27","a","c","b"
"AASIA","b","b","b"
"AAX","a","b","b"
"AAX.WA","b","b","b"
"ABFMY1","a","b","b"
"ABLEGRP","b","b","b"
"ABMB","a","b","b"
"ACME","b","b","b"
"ACOSTEC","b","c","b"
"ADVCON","a","b","c"
"ADVENTA","b","b","b"
"ADVPKG","b","b","b"
"AEM","b","b","b"
"AEM.WA","c","b","a"
"AEMULUS","b","a","b"
"AEON","c","b","a"
"AEON.CO","a","b","b"
"AEON.CQ","c","b","b"
"AEONCR","a","b","b"
"AEONCR.LA","b","b","b"
"AFFIN","c","a","b"
"AFUJIYA","a","b","c"
"AHB","a","b","b"
"AHB.WB","a","b","c"
"AHEALTH","c","b","a"
"AHP","b","b","b"
"AIM","b","b","c"
"AIRASIA","b","b","b"
"AIRASIAC59","b","b","b"
"AIRASIAC67","b","b","b"
"AIRASIAC68","c","b","b"
"AIRASIAC69","c","b","b"
"AIRASIAC70","b","b","b"
"AIRASIAC71","b","b","a"
"AIRASIAC72","a","b","b"
"AIRASIAC73","b","b","a"
"AIRASIAC74","b","b","b"
"AIRASIAC75","c","b","a"
"AIRASIAC76","a","c","b"
"AIRASIAC77","a","c","b"
"AIRASIAC78","b","c","b"
"AIRASIAC79","b","c","a"
"AIRASIAC80","b","b","b"
"AIRPORT","c","a","a"
"AIRPORT.C4","b","b","b"
"AIRPORT.C5","c","b","a"
"AIRPORT.C6","a","b","b"
"AIRPORT.C7","b","a","b"
"AISB","b","b","b"
"AJI","a","b","b"
"AJIYA","a","b","b"
"AJIYA.WA","b","b","b"
"ALAM","a","b","c"
"ALAQAR","b","a","b"
"ALCOM","a","b","b"
"ALLIANZ","a","b","b"
"ALLIANZ.PA","c","b","b"
"ALSREIT","a","b","b"
"AMBANK","b","a","c"
"AMBANK.C10","b","b","b"
"AMBANK.C11","b","b","c"
"AMBANK.C12","b","b","b"
"AMBANK.C13","c","a","a"
"AMEDIA","a","b","b"
"AMFIRST","a","b","b"
"AMPROP","a","b","b"
"AMPROP.PA","a","b","b"
"AMPROP.PB","c","b","b"
"AMTEK","b","c","b"
"AMTEL","b","b","b"
"AMVERTON","b","a","c"
"AMWAY","c","c","a"
"ANALABS","a","b","c"
"ANCOM","c","b","a"
"ANCOMLB","a","b","b"
"ANNJOO","a","c","b"
"ANNJOO.PA","b","b","b"
"ANZO","b","b","b"
"ANZO.WC","b","b","c"
"APB","b","b","b"
"APEX","a","b","b"
"APFT","b","a","b"
"APM","b","b","b"
"APOLLO","b","b","b"
"APPASIA","b","a","c"
"APPASIA.WA","b","a","b"
"ARANK","a","b","b"
"ARK","c","a","b"
"ARMADA","a","b","c"
"ARMADA.C49","b","b","b"
"ARMADA.C50","c","a","b"
"ARREIT","a","b","b"
"ASB","b","a","c"
"ASDION","a","b","c"
"ASDION.WB","c","b","b"
"ASIABRN","b","b","b"
"ASIAFLE","b","b","b"
"ASIAPAC","a","b","b"
"ASIAPAC.LC","a","b","c"
"ASIAPAC.WB","a","b","c"
"ASIAPLY","a","b","b"
"ASIAPLY.PA","b","a","b"
"ASIAPLY.WA","b","b","b"
"ASIAPLY.WB","a","b","c"
"ASTINO","b","b","b"
"ASTRO","c","b","a"
"ASTRO.C10","a","b","c"
"ASTRO.C11","b","c","a"
"ASTRO.C12","a","b","b"
"ASTRO.C13","b","b","b"
"ASTRO.C14","b","b","c"
"AT","a","b","b"
"AT.WB","a","b","c"
"ATAIMS","b","a","c"
"ATLAN","a","b","b"
"ATRIUM","a","b","b"
"ATTA","b","c","a"
"ATTA.LA","a","b","b"
"ATTA.PA","b","b","b"
"ATTA.WC","b","b","b"
"ATURMJU","c","b","a"
"ATURMJU.PA","a","a","c"
"AVI","a","c","b"
"AWC","a","b","c"
"AWC.WA","a","b","c"
"AXIATA","b","a","c"
"AXIATA.C30","c","a","b"
"AXIATA.C32","b","b","b"
"AXIATA.C33","b","b","b"
"AXIATA.C34","b","b","b"
"AXIATA.C35","c","b","a"
"AXIATA.C36","b","b","b"
"AXREIT","a","b","b"
"AYER","b","a","c"
"AYS","a","b","b"
"AZRB","a","b","c"
"AZRB.WA","a","b","c"
"BAHVEST","a","b","c"
"BAHVEST.WA","a","b","c"
"BARAKAH","a","b","c"
"BAT","a","b","c"
"BAT.CM","b","b","b"
"BAT.CN","c","b","b"
"BAUTO","a","b","c"
"BAUTO.C1","a","b","b"
"BAUTO.CY","a","b","c"
"BAUTO.CZ","a","b","b"
"BCB","c","a","b"
"BCMALL","b","a","c"
"BDB","a","b","b"
"BENALEC","a","b","c"
"BERTAM","b","b","c"
"BHIC","a","b","b"
"BIG","a","b","c"
"BIMB","a","b","b"
"BIMB.WA","a","b","b"
"BINACOM","b","a","b"
"BINTAI","b","b","c"
"BINTAI.WA","b","b","b"
"BIOHLDG","b","b","c"
"BIOHLDG.WA","b","b","c"
"BIOOSMO","a","b","b"
"BIPORT","a","b","b"
"BJASSET","b","c","a"
"BJASSET.WB","a","b","b"
"BJCORP","b","b","b"
"BJCORP.C10","b","b","c"
"BJCORP.C11","b","c","b"
"BJCORP.LD","b","b","b"
"BJCORP.WB","a","b","b"
"BJCORP.WC","b","b","b"
"BJFOOD","a","b","c"
"BJLAND","a","b","c"
"BJMEDIA","b","b","b"
"BJTOTO","c","a","a"
"BJTOTO.CW","c","c","a"
"BJTOTO.CX","a","b","b"
"BKAWAN","a","b","b"
"BOC.C5","b","c","b"
"BOILERM","a","b","b"
"BONIA","a","b","b"
"BORNOIL","b","c","b"
"BORNOIL.WC","b","b","b"
"BORNOIL.WD","b","b","c"
"BOXPAK","b","b","b"
"BPLANT","b","b","b"
"BPPLAS","a","b","b"
"BPURI","b","a","b"
"BRAHIMS","a","b","c"
"BREM","a","b","c"
"BRIGHT","b","b","b"
"BSLCORP","a","b","c"
"BSTEAD","b","a","b"
"BTECH","a","b","c"
"BTM","b","c","b"
"BTM.WA","b","b","b"
"BURSA","c","b","a"
"BURSA.C21","b","c","b"
"BURSA.C22","c","b","a"
"BURSA.C23","c","b","b"
"CAB","c","a","b"
"CAB.WA","a","b","c"
"CABNET","a","b","b"
"CABNET.WA","b","b","b"
"CAELY","b","b","b"
"CAELY.WA","b","b","b"
"CAMRES","b","b","c"
"CANONE","a","b","c"
"CAREPLS","a","b","b"
"CARIMIN","b","a","c"
"CARING","a","b","b"
"CARLSBG","a","c","b"
"CBIP","a","b","c"
"CBIP.WA","b","a","c"
"CCB","a","b","b"
"CCK","c","b","a"
"CCK.WA","a","b","b"
"CCM","c","c","a"
"CCMDBIO","c","b","b"
"CENSOF","a","b","b"
"CENSOF.WB","b","b","b"
"CEPAT","a","b","b"
"CEPCO","b","b","c"
"CFM","b","c","a"
"CGARDEN.C1","b","c","b"
"CHEETAH","b","b","b"
"CHGP","c","b","b"
"CHGP.WA","a","c","a"
"CHHB","a","b","b"
"CHHB.WB","a","b","c"
"CHINAETF.MYR","a","b","b"
"CHINHIN","c","b","a"
"CHINTEK","a","c","c"
"CHINWEL","b","c","b"
"CHMOBIL.CG","b","b","b"
"CHOOBEE","a","b","b"
"CHUAN","a","b","b"
"CICB","a","c","b"
"CIHLDG","c","b","a"
"CIMB","c","a","b"
"CIMB.C43","c","b","b"
"CIMB.C44","b","c","a"
"CIMB.C45","c","a","a"
"CIMB.C46","b","b","a"
"CIMB.C47","b","b","b"
"CIMBA40","b","b","b"
"CIMBC50","b","b","b"
"CJCEN","a","c","b"
"CME","b","b","b"
"CME.LA","b","b","c"
"CMMT","a","c","b"
"CMSB","a","b","c"
"CMSB.C15","a","b","c"
"CNASIA","b","b","b"
"CNI","a","b","b"
"CNOUHUA","b","b","b"
"COASTAL","a","b","b"
"COCOLND","b","b","b"
"COMCORP","c","b","a"
"COMFORT","c","a","a"
"COMPLET","a","b","b"
"COMPUGT","a","b","b"
"CONNECT","a","c","c"
"CONNECT.PA","b","c","b"
"CONNECT.WA","b","c","a"
"CONNECT.WB","b","b","c"
"CRESBLD","a","b","c"
"CRESNDO","a","b","b"
"CRG","b","c","a"
"CSCENIC","a","b","b"
"CSCSTEL","a","b","c"
"CUSCAPI","a","a","c"
"CVIEW","a","b","c"
"CWG","b","b","b"
"CYL","b","b","b"
"CYMAO","b","b","b"
"CYPARK","c","b","a"
"D.O","c","a","b"
"DAIBOCI","a","b","c"
"DAIBOCI.WB","b","b","b"
"DANCO","a","c","c"
"DANCO.WA","a","b","c"
"DATAPRP","a","a","c"
"DAYA","a","a","c"
"DAYANG","a","b","c"
"DBE","b","b","b"
"DBE.WB","b","b","b"
"DBHD","a","b","c"
"DBHD.WA","a","b","c"
"DELEUM","c","a","b"
"DESTINI","a","a","c"
"DGB","b","b","b"
"DGB.WB","b","b","b"
"DGSB","b","c","a"
"DIALOG","b","b","c"
"DIALOG.C33","b","b","b"
"DIALOG.C36","b","b","c"
"DIALOG.C37","a","b","c"
"DIALOG.C38","b","b","c"
"DIALOG.C39","c","b","a"
"DIALOG.C40","a","b","c"
"DIALOG.C41","c","b","a"
"DIALOG.C42","b","b","b"
"DIALOG.C43","b","b","b"
"DIGI","b","a","c"
"DIGI.C24","c","a","b"
"DIGI.C27","b","b","b"
"DIGI.C28","b","b","b"
"DIGISTA","c","b","b"
"DIGISTA.WB","b","b","b"
"DIN040000223","b","c","b"
"DIN042300721","b","c","b"
"DIN045801028","b","b","b"
"DKLS","b","b","b"
"DKSH","a","b","b"
"DLADY","b","b","b"
"DNEX","a","b","c"
"DNEX.WD","b","a","c"
"DNONCE","a","b","b"
"DNONCE.WA","b","b","b"
"DOLMITE","b","b","b"
"DOLPHIN","b","c","b"
"DOLPHIN.WA","a","b","b"
"DOMINAN","b","b","a"
"DOMINAN.WA","c","b","b"
"DPIH","c","b","a"
"DPS","b","a","c"
"DPS.WB","b","b","b"
"DRBHCOM","b","a","c"
"DRBHCOMC60","b","b","c"
"DRBHCOMC64","b","a","c"
"DRBHCOMC67","b","b","b"
"DRBHCOMC68","c","a","c"
"DRBHCOMC69","a","c","a"
"DRBHCOMC70","a","b","c"
"DRBHCOMC71","a","b","b"
"DRBHCOMC72","b","a","c"
"DRBHCOMC73","b","a","c"
"DSONIC","a","b","c"
"DSONIC.WA","a","b","c"
"DUFU","c","a","b"
"DUTALND","b","b","c"
"DYNACIA","c","b","a"
"DYNACIA.PA","b","a","b"
"DYNACIA.WA","b","b","a"
"E.O","a","b","c"
"EAH","a","b","c"
"EAH.WD","b","b","b"
"EAH.WE","b","b","a"
"EASTLND","a","b","c"
"EATECH","a","a","c"
"ECM","a","c","c"
"ECOFIRS","b","b","b"
"ECOFIRS.WC","b","b","a"
"ECOHLDS","a","b","c"
"ECONBHD","a","c","b"
"ECONBHD.WA","a","c","b"
"ECOWLD","c","a","a"
"ECOWLD.WA","b","b","b"
