"","V1"
"A50CHIN.C22","cab"
"A50CHIN.C24","bbb"
"A50CHIN.C26","bbb"
"A50CHIN.C28","bbb"
"A50CHIN.C30","cab"
"A50CHIN.C32","cba"
"A50CHIN.C34","bba"
"A50CHIN.C36","bbb"
"A50CHIN.H23","bbb"
"A50CHIN.H27","acb"
"AASIA","bbb"
"AAX","abb"
"AAX.WA","bbb"
"ABFMY1","abb"
"ABLEGRP","bbb"
"ABMB","abb"
"ACME","bbb"
"ACOSTEC","bcb"
"ADVCON","abc"
"ADVENTA","bbb"
"ADVPKG","bbb"
"AEM","bbb"
"AEM.WA","cba"
"AEMULUS","bab"
"AEON","cba"
"AEON.CO","abb"
"AEON.CQ","cbb"
"AEONCR","abb"
"AEONCR.LA","bbb"
"AFFIN","cab"
"AFUJIYA","abc"
"AHB","abb"
"AHB.WB","abc"
"AHEALTH","cba"
"AHP","bbb"
"AIM","bbc"
"AIRASIA","bbb"
"AIRASIAC59","bbb"
"AIRASIAC67","bbb"
"AIRASIAC68","cbb"
"AIRASIAC69","cbb"
"AIRASIAC70","bbb"
"AIRASIAC71","bba"
"AIRASIAC72","abb"
"AIRASIAC73","bba"
"AIRASIAC74","bbb"
"AIRASIAC75","cba"
"AIRASIAC76","acb"
"AIRASIAC77","acb"
"AIRASIAC78","bcb"
"AIRASIAC79","bca"
"AIRASIAC80","bbb"
"AIRPORT","caa"
"AIRPORT.C4","bbb"
"AIRPORT.C5","cba"
"AIRPORT.C6","abb"
"AIRPORT.C7","bab"
"AISB","bbb"
"AJI","abb"
"AJIYA","abb"
"AJIYA.WA","bbb"
"ALAM","abc"
"ALAQAR","bab"
"ALCOM","abb"
"ALLIANZ","abb"
"ALLIANZ.PA","cbb"
"ALSREIT","abb"
"AMBANK","bac"
"AMBANK.C10","bbb"
"AMBANK.C11","bbc"
"AMBANK.C12","bbb"
"AMBANK.C13","caa"
"AMEDIA","abb"
"AMFIRST","abb"
"AMPROP","abb"
"AMPROP.PA","abb"
"AMPROP.PB","cbb"
"AMTEK","bcb"
"AMTEL","bbb"
"AMVERTON","bac"
"AMWAY","cca"
"ANALABS","abc"
"ANCOM","cba"
"ANCOMLB","abb"
"ANNJOO","acb"
"ANNJOO.PA","bbb"
"ANZO","bbb"
"ANZO.WC","bbc"
"APB","bbb"
"APEX","abb"
"APFT","bab"
"APM","bbb"
"APOLLO","bbb"
"APPASIA","bac"
"APPASIA.WA","bab"
"ARANK","abb"
"ARK","cab"
"ARMADA","abc"
"ARMADA.C49","bbb"
"ARMADA.C50","cab"
"ARREIT","abb"
"ASB","bac"
"ASDION","abc"
"ASDION.WB","cbb"
"ASIABRN","bbb"
"ASIAFLE","bbb"
"ASIAPAC","abb"
"ASIAPAC.LC","abc"
"ASIAPAC.WB","abc"
"ASIAPLY","abb"
"ASIAPLY.PA","bab"
"ASIAPLY.WA","bbb"
"ASIAPLY.WB","abc"
"ASTINO","bbb"
"ASTRO","cba"
"ASTRO.C10","abc"
"ASTRO.C11","bca"
"ASTRO.C12","abb"
"ASTRO.C13","bbb"
"ASTRO.C14","bbc"
"AT","abb"
"AT.WB","abc"
"ATAIMS","bac"
"ATLAN","abb"
"ATRIUM","abb"
"ATTA","bca"
"ATTA.LA","abb"
"ATTA.PA","bbb"
"ATTA.WC","bbb"
"ATURMJU","cba"
"ATURMJU.PA","aac"
"AVI","acb"
"AWC","abc"
"AWC.WA","abc"
"AXIATA","bac"
"AXIATA.C30","cab"
"AXIATA.C32","bbb"
"AXIATA.C33","bbb"
"AXIATA.C34","bbb"
"AXIATA.C35","cba"
"AXIATA.C36","bbb"
"AXREIT","abb"
"AYER","bac"
"AYS","abb"
"AZRB","abc"
"AZRB.WA","abc"
"BAHVEST","abc"
"BAHVEST.WA","abc"
"BARAKAH","abc"
"BAT","abc"
"BAT.CM","bbb"
"BAT.CN","cbb"
"BAUTO","abc"
"BAUTO.C1","abb"
"BAUTO.CY","abc"
"BAUTO.CZ","abb"
"BCB","cab"
"BCMALL","bac"
"BDB","abb"
"BENALEC","abc"
"BERTAM","bbc"
"BHIC","abb"
"BIG","abc"
"BIMB","abb"
"BIMB.WA","abb"
"BINACOM","bab"
"BINTAI","bbc"
"BINTAI.WA","bbb"
"BIOHLDG","bbc"
"BIOHLDG.WA","bbc"
"BIOOSMO","abb"
"BIPORT","abb"
"BJASSET","bca"
"BJASSET.WB","abb"
"BJCORP","bbb"
"BJCORP.C10","bbc"
"BJCORP.C11","bcb"
"BJCORP.LD","bbb"
"BJCORP.WB","abb"
"BJCORP.WC","bbb"
"BJFOOD","abc"
"BJLAND","abc"
"BJMEDIA","bbb"
"BJTOTO","caa"
"BJTOTO.CW","cca"
"BJTOTO.CX","abb"
"BKAWAN","abb"
"BOC.C5","bcb"
"BOILERM","abb"
"BONIA","abb"
"BORNOIL","bcb"
"BORNOIL.WC","bbb"
"BORNOIL.WD","bbc"
"BOXPAK","bbb"
"BPLANT","bbb"
"BPPLAS","abb"
"BPURI","bab"
"BRAHIMS","abc"
"BREM","abc"
"BRIGHT","bbb"
"BSLCORP","abc"
"BSTEAD","bab"
"BTECH","abc"
"BTM","bcb"
"BTM.WA","bbb"
"BURSA","cba"
"BURSA.C21","bcb"
"BURSA.C22","cba"
"BURSA.C23","cbb"
"CAB","cab"
"CAB.WA","abc"
"CABNET","abb"
"CABNET.WA","bbb"
"CAELY","bbb"
"CAELY.WA","bbb"
"CAMRES","bbc"
"CANONE","abc"
"CAREPLS","abb"
"CARIMIN","bac"
"CARING","abb"
"CARLSBG","acb"
"CBIP","abc"
"CBIP.WA","bac"
"CCB","abb"
"CCK","cba"
"CCK.WA","abb"
"CCM","cca"
"CCMDBIO","cbb"
"CENSOF","abb"
"CENSOF.WB","bbb"
"CEPAT","abb"
"CEPCO","bbc"
"CFM","bca"
"CGARDEN.C1","bcb"
"CHEETAH","bbb"
"CHGP","cbb"
"CHGP.WA","aca"
"CHHB","abb"
"CHHB.WB","abc"
"CHINAETF.MYR","abb"
"CHINHIN","cba"
"CHINTEK","acc"
"CHINWEL","bcb"
"CHMOBIL.CG","bbb"
"CHOOBEE","abb"
"CHUAN","abb"
"CICB","acb"
"CIHLDG","cba"
"CIMB","cab"
"CIMB.C43","cbb"
"CIMB.C44","bca"
"CIMB.C45","caa"
"CIMB.C46","bba"
"CIMB.C47","bbb"
"CIMBA40","bbb"
"CIMBC50","bbb"
"CJCEN","acb"
"CME","bbb"
"CME.LA","bbc"
"CMMT","acb"
"CMSB","abc"
"CMSB.C15","abc"
"CNASIA","bbb"
"CNI","abb"
"CNOUHUA","bbb"
"COASTAL","abb"
"COCOLND","bbb"
"COMCORP","cba"
"COMFORT","caa"
"COMPLET","abb"
"COMPUGT","abb"
"CONNECT","acc"
"CONNECT.PA","bcb"
"CONNECT.WA","bca"
"CONNECT.WB","bbc"
"CRESBLD","abc"
"CRESNDO","abb"
"CRG","bca"
"CSCENIC","abb"
"CSCSTEL","abc"
"CUSCAPI","aac"
"CVIEW","abc"
"CWG","bbb"
"CYL","bbb"
"CYMAO","bbb"
"CYPARK","cba"
"D.O","cab"
"DAIBOCI","abc"
"DAIBOCI.WB","bbb"
"DANCO","acc"
"DANCO.WA","abc"
"DATAPRP","aac"
"DAYA","aac"
"DAYANG","abc"
"DBE","bbb"
"DBE.WB","bbb"
"DBHD","abc"
"DBHD.WA","abc"
"DELEUM","cab"
"DESTINI","aac"
"DGB","bbb"
"DGB.WB","bbb"
"DGSB","bca"
"DIALOG","bbc"
"DIALOG.C33","bbb"
"DIALOG.C36","bbc"
"DIALOG.C37","abc"
"DIALOG.C38","bbc"
"DIALOG.C39","cba"
"DIALOG.C40","abc"
"DIALOG.C41","cba"
"DIALOG.C42","bbb"
"DIALOG.C43","bbb"
"DIGI","bac"
"DIGI.C24","cab"
"DIGI.C27","bbb"
"DIGI.C28","bbb"
"DIGISTA","cbb"
"DIGISTA.WB","bbb"
"DIN040000223","bcb"
"DIN042300721","bcb"
"DIN045801028","bbb"
"DKLS","bbb"
"DKSH","abb"
"DLADY","bbb"
"DNEX","abc"
"DNEX.WD","bac"
"DNONCE","abb"
"DNONCE.WA","bbb"
"DOLMITE","bbb"
"DOLPHIN","bcb"
"DOLPHIN.WA","abb"
"DOMINAN","bba"
"DOMINAN.WA","cbb"
"DPIH","cba"
"DPS","bac"
"DPS.WB","bbb"
"DRBHCOM","bac"
"DRBHCOMC60","bbc"
"DRBHCOMC64","bac"
"DRBHCOMC67","bbb"
"DRBHCOMC68","cac"
"DRBHCOMC69","aca"
"DRBHCOMC70","abc"
"DRBHCOMC71","abb"
"DRBHCOMC72","bac"
"DRBHCOMC73","bac"
"DSONIC","abc"
"DSONIC.WA","abc"
"DUFU","cab"
"DUTALND","bbc"
"DYNACIA","cba"
"DYNACIA.PA","bab"
"DYNACIA.WA","bba"
"E.O","abc"
"EAH","abc"
"EAH.WD","bbb"
"EAH.WE","bba"
"EASTLND","abc"
"EATECH","aac"
"ECM","acc"
"ECOFIRS","bbb"
"ECOFIRS.WC","bba"
"ECOHLDS","abc"
"ECONBHD","acb"
"ECONBHD.WA","acb"
"ECOWLD","caa"
"ECOWLD.WA","bbb"
"EDARAN","bbb"
"EDEN","abc"
"EDEN.WB","bac"
"EDGENTA","cba"
"EDUSPEC","abc"
"EFFICEN","abc"
"EFORCE","bbb"
"EFORCE.WA","bbb"
"EG","bca"
"EG.PA","abc"
"EG.WC","bbb"
"EIG","bbb"
"EITA","cca"
"EKA","bba"
"EKOVEST","bca"
"EKOVEST.CS","abb"
"EKOVEST.CT","cca"
"EKOVEST.WB","bca"
"EKSONS","cca"
"ELKDESA","acb"
"ELKDESA.LA","bca"
"ELSOFT","cab"
"EMETALL","abb"
"EMICO","bca"
"ENCORP","bbb"
"ENGKAH","bbb"
"ENGTEX","abb"
"ENRA","bac"
"EPMB","abc"
"ESAFE","bbb"
"ESCERAM","bca"
"EUPE","bbb"
"EURO","bba"
"EUROSP","abc"
"EVERGRN","abc"
"EWEIN","cba"
"EWINT","abc"
"EWINT.WA","abb"
"F.N","cba"
"FACBIND","cba"
"FAJAR","abc"
"FAJAR.WB","bbb"
"FAREAST","bab"
"FARLIM","bbb"
"FAVCO","abb"
"FBMKLCI.C5J","bbc"
"FBMKLCI.C5K","aca"
"FBMKLCI.C5M","cab"
"FBMKLCI.C5N","bbb"
"FBMKLCI.C5O","bbb"
"FBMKLCI.C5P","bbb"
"FBMKLCI.C5Q","bbb"
"FBMKLCI.C5R","bbb"
"FBMKLCI.C5S","bbb"
"FBMKLCI.C5T","bca"
"FBMKLCI.C5V","bba"
"FBMKLCI.EA","bca"
"FBMKLCI.H6F","bbb"
"FBMKLCI.H6K","cab"
"FBMKLCI.H6L","bbb"
"FBMKLCI.H6M","bbb"
"FBMKLCI.H6N","bbb"
"FBMKLCI.H6O","bbb"
"FBMKLCI.H6P","bca"
"FBMKLCI.H6Q","abb"
"FBMKLCI.H6S","bca"
"FBMKLCI.H6T","acb"
"FBMKLCI.H6U","cbb"
"FBMKLCI.H6V","cbb"
"FBMKLCI.H6W","cba"
