"","V1","V2","V3"
"A50CHIN.C22",0.473105643349674,-0.446576354937543,-0.0265292884121311
"A50CHIN.C24",-0.146580670100846,-0.130110931887268,0.276691601988114
"A50CHIN.C26",-0.142373413399273,-0.216014834123035,0.358388247522308
"A50CHIN.C28",-0.0966109327236841,-0.122034862387811,0.218645795111496
"A50CHIN.C30",1.06826249747071,-0.93655890189213,-0.131703595578581
"A50CHIN.C32",0.594914799143988,-0.099152466523998,-0.49576233261999
"A50CHIN.C34",0.223405654668028,0.300876970399683,-0.52428262506771
"A50CHIN.C36",-0.224481441809118,-0.0579306946604177,0.282412136469536
"A50CHIN.H23",0.204836622599676,-0.409673245199351,0.204836622599676
"A50CHIN.H27",-0.651528814342364,0.952234420961917,-0.300705606619552
"AASIA",0.143111463537608,-0.172720731855734,0.0296092683181257
"AAX",-0.512805605030784,0.146515887151647,0.366289717879124
"AAX.WA",0.3038218101251,-0.15191090506255,-0.15191090506255
"ABFMY1",-0.526234423996659,0.350174201345145,0.176060222651514
"ABLEGRP",0.263804190671893,0.031656502880627,-0.295460693552521
"ABMB",-0.531669093343399,0.254882561602827,0.276786531740571
"ACME",-6.83214169000096e-17,0.277350098112615,-0.277350098112615
"ACOSTEC",-0.207882687481517,0.582071524948243,-0.37418883746673
"ADVCON",-1.15542188969669,0.101352797341815,1.05406909235487
"ADVENTA",0.162854818015057,-0.162854818015057,-1.02482125350014e-16
"ADVPKG",-0.292388489693966,0.00245704613188206,0.289931443562084
"AEM",-0.112725007225286,-0.172402952226907,0.285127959452193
"AEM.WA",0.592999453328881,-0.14824986333222,-0.444749589996661
"AEMULUS",0.238337436689687,-0.536259232551796,0.297921795862109
"AEON",0.788822710424103,-0.250989044225847,-0.537833666198246
"AEON.CO",-0.610252773836546,0.374025893641754,0.236226880194792
"AEON.CQ",0.554700196225229,-0.277350098112615,-0.277350098112615
"AEONCR",-0.57606109619596,0.286725766453142,0.289335329742818
"AEONCR.LA",-0.346765141696533,0.175955012552247,0.170810129144286
"AFFIN",0.982824639722572,-0.831620848996036,-0.151203790726561
"AFUJIYA",-0.500747977295566,-0.0301655408009376,0.530913518096504
"AHB",-0.599895027554463,0.199965009184822,0.399930018369642
"AHB.WB",-0.636595070120767,-0.318297535060383,0.95489260518115
"AHEALTH",1.13127471157743,-0.332909179428778,-0.798365532148648
"AHP",0.154266852678124,-0.337062506878916,0.182795654200791
"AIM",-0.277350098112615,-0.277350098112615,0.554700196225229
"AIRASIA",-0.106568069714792,0.170508911543681,-0.0639408418288757
"AIRASIAC59",-0.277350098112615,0.277350098112615,-3.41607084500048e-17
"AIRASIAC67",-0.381284834854123,0.0136173155305047,0.367667519323619
"AIRASIAC68",0.591312395989083,-0.35478743759345,-0.236524958395633
"AIRASIAC69",0.680175471780784,-0.304906245970696,-0.375269225810088
"AIRASIAC70",0.381457288239512,-0.143046483089817,-0.238410805149695
"AIRASIAC71",0.304921850914026,0.256776295506548,-0.561698146420573
"AIRASIAC72",-0.681521803546487,0.337173944912473,0.344347858634015
"AIRASIAC73",0.0516769341036142,0.381117389014155,-0.43279432311777
"AIRASIAC74",-0.209363597687148,-0.163405734780213,0.372769332467361
"AIRASIAC75",0.812704772581326,-0.25984438307022,-0.552860389511106
"AIRASIAC76",-0.470939705069373,0.5452986058698,-0.0743589008004273
"AIRASIAC77",-0.779286500199197,0.779286500199197,4.14198589956308e-16
"AIRASIAC78",-0.365219519485423,0.444185902076866,-0.0789663825914427
"AIRASIAC79",0.0335719831132296,0.470007763585214,-0.503579746698444
"AIRASIAC80",0.0778467491564935,0.202401547806883,-0.280248296963376
"AIRPORT",1.13680507929327,-0.615082941453358,-0.521722137839903
"AIRPORT.C4",0.04608300367747,-0.04608300367747,1.11022302462516e-16
"AIRPORT.C5",0.750499762435782,-1.70803542250024e-17,-0.750499762435781
"AIRPORT.C6",-0.526095253802704,0.33820409173031,0.187891162072394
"AIRPORT.C7",0.396565285079257,-0.452084424990353,0.0555191399110959
"AISB",-0.146760464184099,-0.146760464184099,0.293520928368199
"AJI",-0.536678192877062,0.288127230924501,0.248550961952561
"AJIYA",-0.547522135734003,0.277653405324826,0.269868730409177
"AJIYA.WA",0.181688961098324,-0.338602154774149,0.156913193675825
"ALAM",-0.967508818031453,-0.146039066872672,1.11354788490413
"ALAQAR",0.281862153251403,-0.553511909645871,0.271649756394468
"ALCOM",-0.614187932572438,0.245675173028975,0.368512759543463
"ALLIANZ",-0.562571421814277,0.269879623660732,0.292691798153545
"ALLIANZ.PA",0.554700196225229,-0.277350098112615,-0.277350098112615
"ALSREIT",-0.624886293766433,0.293381628638352,0.331504665128082
"AMBANK",-0.341580796015888,-0.683161592031785,1.02474238804769
"AMBANK.C10",0.0185346809085411,-0.0278020213628115,0.00926734045427055
"AMBANK.C11",-0.409673245199351,-0.409673245199351,0.819346490398703
"AMBANK.C12",-0.409593242311567,0.193625896365468,0.215967345946099
"AMBANK.C13",1.05246962316843,-0.526234811584217,-0.526234811584217
"AMEDIA",-0.569032477787113,0.370733280982512,0.198299196804599
"AMFIRST",-0.560714621639182,0.271229398374302,0.28948522326488
"AMPROP",-0.513246382974318,0.267315824465791,0.245930558508527
"AMPROP.PA",-0.523323058394436,0.25052699603989,0.272796062354547
"AMPROP.PB",0.554700196225229,-0.277350098112615,-0.277350098112615
"AMTEK",-0.309241431336821,0.483189736463782,-0.173948305126962
"AMTEL",-1.19562479575017e-16,0.350823207722812,-0.350823207722812
"AMVERTON",-0.119172401315769,-0.566874125177711,0.68604652649348
"AMWAY",0.785472659590564,0.501365527398227,-1.2868381869888
"ANALABS",-0.888586231527083,0.330636737312403,0.55794949421468
"ANCOM",0.751380756765343,0.0751380756765328,-0.82651883244188
"ANCOMLB",-0.457682014852477,0.259353141749737,0.19832887310274
"ANNJOO",-0.686656106400583,0.665848345600565,0.0208077608000177
"ANNJOO.PA",-0.364061353332439,0.309678744535892,0.0543826087965468
"ANZO",-0.15191090506255,-0.15191090506255,0.3038218101251
"ANZO.WC",-0.277350098112615,-0.277350098112615,0.554700196225229
"APB",0.208251797845561,-0.179853825412076,-0.0283979724334857
"APEX",-0.467426352442809,0.287646986118641,0.179779366324148
"APFT",0.0704469953676346,-0.493128967573443,0.422681972205808
"APM",0.139650790622097,0.179551016514125,-0.319201807136221
"APOLLO",-0.222189406622498,0.403213079951516,-0.181023673329019
"APPASIA",0.138675049056309,-0.832050294337842,0.693375245281538
"APPASIA.WA",0.389643250099598,-0.75331028352589,0.363667033426292
"ARANK",-0.534428966937646,0.267214483468823,0.267214483468823
"ARK",0.887158282407894,-0.63368448743421,-0.253473794973684
"ARMADA",-0.680069134508706,-0.340034567254353,1.02010370176306
"ARMADA.C49",-0.202547873416733,-0.101273936708367,0.3038218101251
"ARMADA.C50",0.451378116153413,-0.515860704175329,0.064482588021916
"ARREIT",-0.546871268929719,0.292321579187658,0.254549689742061
"ASB",-0.381457288239511,-0.619868093389207,1.00132538162872
"ASDION",-1.06011234646585,-0.0460918411506877,1.10620418761654
"ASDION.WB",0.554700196225229,-0.277350098112615,-0.277350098112615
"ASIABRN",0.0976039239904067,-0.134786371224847,0.0371824472344406
"ASIAFLE",-0.169412986732879,0.17147063434502,-0.00205764761214021
