stock name,price,board,volume,date,time,Period End 1,Revenue 1,P&L 1,EPS 1,Period End 2,Revenue 2,P&L 2,EPS 2,Period End 3,Revenue 3,P&L 3,EPS 3,Period End 4,Revenue 4,P&L 4,EPS 4,Financial Date,Sales,Ebitda,Ebit,Net Profit,Intangibles,Fixed Asset,Long Term Investment,Inventories,Cash,Current Liabilites,Long_debt,Provisions,Minorities,Total Shareholder Equity,Operating Margin,Return on Equity Capital,Net Profit Margin,Current Ratio,Debt to Capital at book
ASTRAL ASIA BHD,0.150,Main,100,06 Mar 2019,7:11 PM,31 Dec 2018,"2,673",566,0.10,30 Sep 2018,"6,948","-1,172",-0.08,30 Jun 2018,"8,158","-3,119",-0.39,31 Mar 2018,"7,949","-3,082",-0.44,31 Dec 2017,"31,489",-,-,"-1,735",0,"368,651","1,281",270,"8,205","11,629","12,609",0,0,"300,985",16.83,-,-5.51,1.29,-
ABLEGROUP BERHAD,0.070,Main,0,06 Mar 2019,7:11 PM,31 Dec 2018,"1,413",-70,-0.03,30 Sep 2018,"1,122",4,0.01,30 Jun 2018,873,-399,-0.15,31 Mar 2018,549,-522,-0.20,31 Dec 2017,"9,063",-,-,3,0,851,0,"38,667","4,095","3,030",0,0,0,"45,831",1.13,-,0.03,15.63,-
ACME HOLDINGS BERHAD,0.230,Main,0,06 Mar 2019,7:11 PM,31 Dec 2018,"7,585","1,271",0.61,30 Sep 2018,"8,551","1,050",0.50,30 Jun 2018,"6,136",630,0.30,31 Mar 2018,"7,913",-132,-0.06,31 Mar 2018,"27,731",-,-,"3,369",0,"14,050",0,"22,931","6,041","17,270",536,0,0,"69,563",18.77,-,12.15,2.99,-
ADVANCECON HOLDINGS BERHAD,0.350,Main,"4,602",06 Mar 2019,7:11 PM,31 Dec 2018,"71,585","2,886",0.72,30 Sep 2018,"65,780","1,536",0.38,30 Jun 2018,"73,734","3,663",0.91,31 Mar 2018,"61,761","2,532",0.63,31 Dec 2017,"265,988",-,-,"18,464",0,"151,368",0,0,"46,896","122,698","21,375",0,0,"174,608",12.08,-,6.94,1.49,-
ADVANCED PACKAGING TECHNOLOGY,1.900,Main,0,06 Mar 2019,7:11 PM,31 Dec 2018,"6,439",-58,-0.30,30 Sep 2018,"5,939",216,1.13,30 Jun 2018,"6,180",366,1.91,31 Mar 2018,"6,860",520,2.72,31 Dec 2017,"24,907","2,171",876,"1,176",0,"11,950","5,000","4,248","10,452","4,288",0,"2,423",0,"30,164",5.54,3.83,4.72,4.82,0
AIRASIA X BERHAD,0.255,Main,"90,106",06 Mar 2019,7:11 PM,31 Dec 2018,"1,148,075","-99,269",-2.40,30 Sep 2018,"1,077,422","-197,469",-4.80,30 Jun 2018,"1,053,620","-57,457",-1.40,31 Dec 2017,"1,220,466","84,414",2.00,31 Dec 2017,"4,562,005",-,-,"98,886",0,"1,595,903","125,315","8,518","432,675","2,219,816","673,392","789,043",0,"988,606",5.44,-,2.17,0.5,-
AE MULTI HOLDINGS BHD,0.120,Main,"3,188",06 Mar 2019,7:11 PM,31 Dec 2018,"15,945","-1,392",-0.46,30 Sep 2018,"15,253",59,0.02,30 Jun 2018,"14,103",-153,-0.05,31 Mar 2018,"15,893",-591,-0.20,31 Dec 2017,"62,103",-,-,"-1,287",0,"34,407",0,"27,393","6,558","42,425",0,0,0,"56,709",2.26,-,-2.07,1.29,-
ADVENTA BHD,0.355,Main,200,06 Mar 2019,7:11 PM,31 Dec 2018,"7,773","-27,427",-17.95,31 Oct 2018,"9,589",-569,-0.37,31 Jul 2018,"13,420",757,0.50,30 Apr 2018,"15,360",702,0.46,31 Oct 2017,"44,236","5,679","2,476",142,"32,105","49,045",0,"14,722","10,215","23,025","23,376",0,0,"81,247",6.35,0.17,0.32,2.04,0.27
AEMULUS HOLDINGS BERHAD,0.250,Ace,"3,897",06 Mar 2019,7:11 PM,31 Dec 2018,"7,738","1,014",0.18,30 Sep 2018,"6,733",302,0.06,30 Sep 2018,"6,733",302,0.06,30 Jun 2018,"9,538","2,198",0.40,30 Sep 2017,"40,067","7,661","6,709","7,552","13,686","6,367",0,"17,597","6,414","7,627","2,248",0,0,"73,089",18.93,10.9,18.85,8.19,0.03
ACOUSTECH BHD,0.455,Main,"23,742",06 Mar 2019,7:11 PM,31 Dec 2018,"6,847","-5,514",-3.20,30 Sep 2018,"10,789","-1,108",-0.60,27 Aug 2018,0,0,0.00,31 Mar 2018,"6,210","-1,343",-0.80,31 Dec 2017,"46,689",-,-,"-13,883","23,469","1,246",0,"8,606","12,060","25,894","13,496",0,0,"99,765",-28.23,-,-29.74,2.79,-
ABF MALAYSIA BOND INDEX FUND,1.167,Etf,0,06 Mar 2019,7:11 PM,30 Sep 2018,"28,446","27,855",2.25,30 Jun 2018,"-1,418","-2,041",-0.16,31 Mar 2018,"17,086","16,459",1.30,30 Sep 2017,"18,549","17,909",1.36,31 Dec 2017,"73,373","70,796","70,796","70,796",0,0,0,0,"4,873",362,0,0,0,"1,450,591",96.49,4.89,96.49,4008.16,0
AEON CO. (M) BHD,1.590,Main,"8,324",06 Mar 2019,7:11 PM,31 Dec 2018,"1,110,518","53,543",3.81,30 Sep 2018,"1,064,808","13,851",0.99,30 Jun 2018,"1,064,029","9,788",0.70,31 Mar 2018,"1,114,285","27,941",1.99,31 Dec 2017,"4,088,164","535,503","231,110","105,007","17,228","3,504,045","92,690","610,731","78,594","2,265,845","155,323",0,0,"1,962,867",5.74,5.46,2.57,0.34,0.23
AHB HOLDINGS BHD,0.130,Main,"1,805",06 Mar 2019,7:11 PM,31 Dec 2018,"3,785",302,0.17,30 Sep 2018,"4,975",519,0.31,30 Jun 2018,"4,899",508,0.30,31 Mar 2018,"3,974",-291,-0.18,31 Mar 2018,"17,627",-,-,"1,339","1,936","9,441",0,"6,313","3,606","2,152",0,0,0,"35,710",-0.89,-,7.6,10.45,-
ABM FUJIYA BERHAD,0.540,Main,10,06 Mar 2019,7:11 PM,31 Dec 2018,"34,103","3,144",1.75,30 Sep 2018,"31,991","2,509",1.39,30 Jun 2018,"23,757","-1,815",-1.01,31 Dec 2017,"27,996","4,414",2.45,31 Dec 2017,"100,114","16,423","7,583","6,364",0,"90,971","4,082","96,275","7,874","71,588","12,041",0,0,"153,651",8.78,4.23,6.36,2.08,0.3
AEON CREDIT SERVICE (M) BHD,17.200,Main,"1,763",06 Mar 2019,7:11 PM,30 Nov 2018,"348,497","87,136",33.35,31 Aug 2018,"332,092","80,640",31.03,31 May 2018,"325,718","99,235",38.43,28 Feb 2018,"309,173","82,308",31.87,29 Feb 2016,"965,234","483,783","464,284","228,222",0,"52,076","24,239",0,"67,250","822,040","4,214,649",0,0,"1,060,818",48.16,22.64,23.64,2.86,0.81
ADVANCE INFORMATION MARKETING,0.280,Ace,0,06 Mar 2019,7:11 PM,31 Dec 2018,"2,741","1,147",0.47,30 Sep 2018,"1,731",-969,-0.40,30 Jun 2018,"1,601","-1,258",-0.52,31 Mar 2018,"3,478","-1,184",-0.49,31 Dec 2017,"12,457",-,-,"-2,115",2,"2,587","2,821",688,"12,049",501,0,165,0,"26,485",-17.03,-,-16.98,36.93,-
APEX HEALTHCARE BHD,9.660,Main,269,06 Mar 2019,7:11 PM,31 Dec 2018,"163,061","16,803",14.33,30 Sep 2018,"165,253","14,942",12.71,30 Jun 2018,"155,946","13,701",11.69,31 Mar 2018,"168,400","13,221",11.25,31 Dec 2017,"620,264",-,-,"44,459","1,970","124,974","10,474","69,018","80,903","110,185",0,0,0,"343,655",9.04,-,7.17,2.72,-
AIRASIA GROUP BERHAD,2.800,Main,"77,790",06 Mar 2019,7:11 PM,31 Dec 2018,"2,823,386","-457,035",-11.80,30 Sep 2018,"2,608,794","804,013",27.40,30 Jun 2018,"2,623,628","315,282",10.80,31 Mar 2018,0,-13,0.00,31 Dec 2017,"9,709,721",-,-,"1,628,774","609,329","12,303,522","855,672","68,234","1,882,195","5,333,843","7,584,018","631,276",0,"6,710,080",27.45,-,16.77,0.81,-
AJINOMOTO (M) BHD,18.520,Main,140,06 Mar 2019,7:11 PM,31 Dec 2018,"115,177","18,056",29.70,30 Sep 2018,"117,844","15,532",25.55,30 Jun 2018,"95,228","11,169",18.37,31 Mar 2018,"115,053","14,686",24.16,31 Mar 2018,"436,286",-,-,"56,262",0,"84,374",226,"45,744","126,747","37,451",0,"11,034",0,"437,129",15.37,-,12.9,10.7,-
AL-AQAR HEALTHCARE REIT,1.350,Main,"10,593",06 Mar 2019,7:11 PM,31 Dec 2018,"25,896","44,047",6.04,30 Sep 2018,"25,623","15,140",2.08,30 Jun 2018,"25,585","15,445",2.12,31 Mar 2018,"25,545","16,743",2.30,31 Dec 2017,"99,648","95,122","90,210","84,645",0,0,0,0,"86,949","622,459",0,0,0,"923,290",87.35,9.3,84.94,0.16,0.39
AMALGAMATED INDUSTRIAL STEEL,0.260,Main,0,06 Mar 2019,7:11 PM,31 Dec 2018,485,"-3,632",-2.64,21 Nov 2018,0,0,0.00,30 Jun 2018,295,-238,-0.17,31 Dec 2017,-14,"1,674",1.22,31 Dec 2017,"19,740",-,-,"6,273",0,573,12,"22,224","51,672","4,017",0,234,0,"142,010",33.01,-,31.78,18.58,-
ALAM MARITIM RESOURCES BHD,0.110,Main,"88,527",06 Mar 2019,7:11 PM,31 Dec 2018,"31,495","-131,886",-14.30,30 Sep 2018,"21,413","-21,436",-2.30,30 Jun 2018,"18,896","-9,331",-1.00,31 Mar 2018,"21,437","-8,953",-1.20,31 Dec 2017,"161,075",-,-,"-145,972",0,"391,083","188,107","1,513","55,792","252,381","19,143",0,0,"593,643",-82.1,-,-90.62,1.15,-
MALAYSIA AIRPORTS HOLDINGS BHD,7.870,Main,"43,503",06 Mar 2019,7:11 PM,31 Dec 2018,"1,251,671","28,096",-0.05,30 Sep 2018,"1,229,545","168,492",9.28,30 Jun 2018,"1,154,690","86,116",3.47,31 Mar 2018,"1,215,796","444,599",25.94,31 Dec 2017,"4,652,338","1,889,591","962,153","236,486","17,483,908","349,847","555,742","140,591","2,460,980","2,233,651","5,126,028","3,868",0,"9,009,157",22.58,2.67,5.08,1.52,0.25
AL-SALAM REAL ESTATE INVESTMENT TRUST,0.820,Main,320,06 Mar 2019,7:11 PM,31 Dec 2018,"23,603","16,260",2.80,30 Sep 2018,"20,060","8,339",1.44,30 Jun 2018,"19,506","7,675",1.32,31 Mar 2018,"18,982","8,028",1.38,31 Dec 2017,"80,032","56,908","52,826","35,543",0,557,0,0,"45,066","10,412","347,699",0,0,"616,296",50.74,5.79,44.41,5.83,0.35
AMMB HOLDINGS BHD,4.500,Main,"20,975",06 Mar 2019,7:11 PM,31 Dec 2018,"2,300,616","365,588",11.63,30 Sep 2018,"2,313,966","378,456",11.57,30 Jun 2018,"2,171,291","383,256",11.56,31 Mar 2018,"2,211,339","302,072",8.43,31 Mar 2016,-,"1,870,730","1,721,863","1,302,206",-,"292,787",-,-,6.85,-,-,-,-,-,-,-,-,-,-
ASIA MEDIA GROUP BERHAD,0.155,Main,630,06 Mar 2019,7:11 PM,31 Dec 2018,"2,440",-973,-0.41,30 Sep 2018,"3,390","-1,013",-0.42,30 Jun 2018,"3,577",-69,-0.03,31 Dec 2017,"3,700","1,575",0.66,31 Dec 2017,"15,384",-,-,"2,281",126,"20,280",0,0,"1,953","3,058",0,0,0,"25,000",14.79,-,14.83,2.5,-
ALCOM GROUP BERHAD,0.550,Main,802,06 Mar 2019,7:11 PM,31 Dec 2018,"100,761","3,426",2.55,30 Sep 2018,"83,050",-533,-0.40,30 Jun 2018,"100,852",356,0.27,31 Mar 2018,"101,040",188,0.14,31 Mar 2017,"317,132","24,738","14,561","11,610","2,158","62,513",0,"57,887","57,041","37,077",0,"5,144",0,"176,251",4.98,6.81,3.66,4.28,0
AMCORP PROPERTIES BERHAD,0.525,Main,257,06 Mar 2019,7:11 PM,31 Dec 2018,"36,314",447,0.02,30 Sep 2018,"28,767","11,287",0.96,30 Jun 2018,"32,638","5,191",0.67,31 Mar 2018,"27,837","35,777",5.86,31 Mar 2018,"134,085",-,-,"142,320",0,"270,902","669,023","205,814","430,278","342,519","394,574",0,0,"1,065,129",150.83,-,106.14,1.97,-
AMVERTON BERHAD,1.020,Main,"1,027",06 Mar 2019,7:11 PM,31 Dec 2018,"21,305","52,547",14.33,30 Sep 2018,"35,928","15,118",4.22,30 Jun 2018,"31,990","4,341",1.14,31 Mar 2018,"29,936","4,071",0.99,31 Dec 2017,"160,709","37,488","31,127","24,190","19,085","156,661","1,521","402,671","71,088","155,548",0,0,0,"665,798",20.52,3.7,15.05,3.42,0
